"GEOID","NAME","vacancy_totalE","vacancy_totalM","for_rentE","for_rentM","rented_not_occE","rented_not_occM","for_saleE","for_saleM","sold_not_occE","sold_not_occM","seasonal_rec_occaisionalE","seasonal_rec_occaisionalM","migrant_workerE","migrant_workerM","other_vacantE","other_vacantM"
"14418","ZCTA5 14418",384,121,0,12,0,12,8,12,5,7,318,116,0,12,53,35
"14435","ZCTA5 14435",466,84,12,20,0,12,0,12,0,12,372,73,0,12,82,49
"14468","ZCTA5 14468",594,221,88,100,0,19,0,19,65,88,163,118,0,19,278,143
"14489","ZCTA5 14489",428,126,74,64,32,46,47,52,0,17,41,49,0,17,234,117
"14525","ZCTA5 14525",63,37,0,12,3,4,20,18,0,12,0,12,0,12,40,32
"12307","ZCTA5 12307",1587,213,168,113,0,17,23,35,0,17,27,33,0,17,1369,203
"12405","ZCTA5 12405",156,76,0,12,0,12,0,12,0,12,145,74,11,19,0,12
"12411","ZCTA5 12411",60,69,0,12,0,12,0,12,41,65,19,30,0,12,0,12
"12015","ZCTA5 12015",447,119,7,12,8,14,42,51,0,12,259,93,0,12,131,79
"12020","ZCTA5 12020",961,257,204,141,38,62,137,102,0,25,193,157,0,25,389,175
"12031","ZCTA5 12031",9,14,0,12,0,12,0,12,9,14,0,12,0,12,0,12
"12036","ZCTA5 12036",121,46,0,12,0,12,10,15,0,12,101,40,0,12,10,17
"12051","ZCTA5 12051",566,166,14,24,0,17,0,17,0,17,339,122,0,17,213,122
"12053","ZCTA5 12053",264,141,0,12,0,12,15,18,2,5,0,12,0,12,247,143
"12054","ZCTA5 12054",287,155,70,78,0,19,38,60,0,19,142,127,0,19,37,42
"12056","ZCTA5 12056",261,142,0,12,0,12,0,12,0,12,0,12,0,12,261,142
"12057","ZCTA5 12057",63,52,0,12,18,27,0,12,0,12,36,41,0,12,9,15
"12070","ZCTA5 12070",31,31,13,22,0,12,4,6,0,12,0,12,0,12,14,20
"12075","ZCTA5 12075",409,143,0,12,0,12,0,12,0,12,202,117,0,12,207,123
"12087","ZCTA5 12087",71,71,0,12,0,12,0,12,0,12,57,61,0,12,14,23
"12118","ZCTA5 12118",660,197,61,78,59,57,94,73,51,58,50,62,0,19,345,155
"12121","ZCTA5 12121",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"12140","ZCTA5 12140",10,15,0,12,0,12,0,12,0,12,0,12,0,12,10,15
"12143","ZCTA5 12143",242,107,26,42,0,12,27,42,0,12,37,45,0,12,152,82
"12154","ZCTA5 12154",126,72,0,12,0,12,0,12,0,12,78,52,0,12,48,49
"12155","ZCTA5 12155",318,83,0,12,0,12,21,26,0,12,213,73,0,12,84,50
"12157","ZCTA5 12157",208,79,30,29,0,12,25,27,23,23,23,18,0,12,107,65
"12167","ZCTA5 12167",478,85,22,21,0,12,18,21,18,19,327,73,0,12,93,40
"12751","ZCTA5 12751",205,61,10,16,0,12,0,12,24,25,138,55,0,12,33,27
"12764","ZCTA5 12764",692,79,11,13,0,12,20,18,0,12,581,83,0,12,80,31
"12777","ZCTA5 12777",186,44,10,14,0,12,2,3,17,16,109,43,0,12,48,23
"12784","ZCTA5 12784",33,36,0,12,0,12,0,12,0,12,14,22,0,12,19,29
"12788","ZCTA5 12788",591,159,51,58,0,12,32,41,0,12,475,142,0,12,33,40
"12789","ZCTA5 12789",953,147,33,20,5,9,34,36,6,9,806,139,0,12,69,47
"12847","ZCTA5 12847",1245,68,0,12,0,12,0,12,0,12,1220,69,0,12,25,20
"12791","ZCTA5 12791",200,96,22,35,0,12,0,12,0,12,86,64,24,39,68,57
"12817","ZCTA5 12817",1130,175,27,44,0,12,0,12,0,12,1001,161,0,12,102,82
"12839","ZCTA5 12839",676,208,123,103,0,19,56,70,0,19,36,56,0,19,461,168
"12851","ZCTA5 12851",230,45,0,12,0,12,4,6,0,12,212,44,0,12,14,14
"12856","ZCTA5 12856",196,62,0,12,0,12,0,12,0,12,189,63,0,12,7,10
"12871","ZCTA5 12871",129,91,0,12,0,12,40,62,0,12,43,54,0,12,46,29
"12919","ZCTA5 12919",131,93,8,14,0,12,0,12,0,12,87,90,0,12,36,34
"12921","ZCTA5 12921",290,86,28,44,0,12,0,12,0,12,212,78,0,12,50,59
"12922","ZCTA5 12922",108,39,0,12,0,12,0,12,0,12,104,39,0,12,4,7
"12956","ZCTA5 12956",40,64,0,12,0,12,0,12,0,12,0,12,0,12,40,64
"12961","ZCTA5 12961",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"12969","ZCTA5 12969",402,65,0,12,0,12,0,12,0,12,392,66,0,12,10,15
"12970","ZCTA5 12970",161,40,0,12,0,12,0,12,0,12,161,40,0,12,0,12
"12980","ZCTA5 12980",762,72,0,12,0,12,14,16,18,19,678,70,0,12,52,28
"12912","ZCTA5 12912",325,83,9,14,8,14,10,15,0,12,244,66,0,12,54,43
"14892","ZCTA5 14892",362,145,0,17,0,17,27,45,0,17,51,51,0,17,284,139
"14894","ZCTA5 14894",91,43,0,12,8,13,19,17,0,12,0,12,0,12,64,40
"14897","ZCTA5 14897",145,49,28,30,0,12,16,19,0,12,41,26,0,12,60,36
"14903","ZCTA5 14903",476,205,49,54,0,17,22,37,54,87,128,124,0,17,223,112
"14904","ZCTA5 14904",1073,221,199,135,31,48,76,87,0,19,46,75,0,19,721,183
"14816","ZCTA5 14816",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14727","ZCTA5 14727",1259,146,22,22,0,17,43,44,14,17,944,132,0,17,236,87
"14747","ZCTA5 14747",241,83,17,28,0,12,6,9,21,29,101,50,0,12,96,56
"14750","ZCTA5 14750",409,130,10,16,0,12,34,52,0,12,267,119,0,12,98,85
"14480","ZCTA5 14480",100,110,0,12,0,12,0,12,0,12,52,81,0,12,48,76
"14487","ZCTA5 14487",353,166,41,65,0,17,8,13,0,17,259,146,0,17,45,68
"14506","ZCTA5 14506",60,94,0,12,0,12,0,12,0,12,0,12,0,12,60,94
"14536","ZCTA5 14536",62,28,0,12,0,12,9,14,0,12,36,29,0,12,17,13
"14543","ZCTA5 14543",30,26,9,15,0,12,12,18,0,12,0,12,0,12,9,13
"11208","ZCTA5 11208",4551,390,1378,248,99,54,333,108,82,76,1947,290,0,28,712,162
"11210","ZCTA5 11210",1908,301,320,117,299,113,136,75,234,111,104,60,0,28,815,204
"11212","ZCTA5 11212",3524,469,1082,273,130,82,80,63,0,28,65,49,0,28,2167,356
"11221","ZCTA5 11221",3865,405,1476,250,94,64,231,112,325,111,174,79,0,28,1565,271
"11239","ZCTA5 11239",278,174,261,172,0,19,0,19,0,19,0,19,0,19,17,28
"11361","ZCTA5 11361",1164,203,161,95,51,59,108,88,58,52,236,99,0,22,550,167
"11364","ZCTA5 11364",775,215,139,87,25,41,165,113,53,54,121,96,0,25,272,118
"11413","ZCTA5 11413",763,154,95,55,0,25,145,82,34,31,87,57,0,25,402,108
"11429","ZCTA5 11429",306,108,52,47,0,22,48,44,30,38,19,28,0,22,157,81
"11434","ZCTA5 11434",1169,244,165,87,11,17,248,117,38,35,42,53,0,28,665,223
"11436","ZCTA5 11436",465,100,59,43,39,32,50,42,37,32,8,13,11,18,261,84
"11953","ZCTA5 11953",410,148,100,78,0,19,7,12,17,28,76,69,0,19,210,114
"11961","ZCTA5 11961",652,233,84,83,0,19,65,77,73,91,76,85,0,19,354,167
"11978","ZCTA5 11978",2620,140,34,32,1,3,15,18,9,13,2460,148,0,12,101,73
"11572","ZCTA5 11572",537,199,31,47,0,22,177,121,0,22,167,131,0,22,162,87
"11520","ZCTA5 11520",648,203,80,70,54,51,242,116,54,53,51,49,0,25,167,91
"11550","ZCTA5 11550",1481,256,889,204,61,57,123,76,20,31,46,41,0,28,342,117
"11561","ZCTA5 11561",2133,313,90,78,96,91,259,132,75,63,1061,275,0,25,552,139
"11692","ZCTA5 11692",588,173,276,132,0,22,18,30,0,22,31,36,0,22,263,114
"11096","ZCTA5 11096",115,84,56,48,0,17,0,17,18,29,0,17,0,17,41,42
"11102","ZCTA5 11102",3868,378,191,107,110,81,81,67,16,25,674,200,86,69,2710,359
"11104","ZCTA5 11104",1163,252,171,82,194,108,0,22,44,49,131,103,0,22,623,220
"11207","ZCTA5 11207",4238,361,1253,216,205,113,199,85,125,82,332,117,0,28,2124,261
"11213","ZCTA5 11213",2224,316,648,196,138,88,99,66,118,66,158,97,0,28,1063,240
"11216","ZCTA5 11216",3137,309,1132,211,226,109,86,59,225,105,125,77,0,28,1343,252
"11225","ZCTA5 11225",1613,298,502,191,257,141,23,37,134,82,36,38,0,28,661,199
"11232","ZCTA5 11232",584,175,137,92,37,40,53,46,16,25,90,59,0,22,251,107
"11238","ZCTA5 11238",1872,278,451,174,214,145,46,44,22,37,195,110,0,28,944,228
"11358","ZCTA5 11358",858,170,223,112,8,13,72,42,46,43,310,109,0,25,199,73
"11365","ZCTA5 11365",657,258,176,170,47,73,39,48,116,89,100,68,0,25,179,101
"11547","ZCTA5 11547",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11554","ZCTA5 11554",542,189,32,52,72,82,32,35,32,51,47,58,0,25,327,148
"13605","ZCTA5 13605",388,81,35,31,13,17,0,17,0,17,240,57,0,17,100,57
"13325","ZCTA5 13325",294,59,0,12,0,12,4,7,0,12,245,49,0,12,45,29
"13337","ZCTA5 13337",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"13409","ZCTA5 13409",159,59,2,3,14,23,0,12,29,31,5,8,0,12,109,47
"13437","ZCTA5 13437",549,51,0,12,0,12,12,13,0,12,523,52,0,12,14,13
"13450","ZCTA5 13450",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"13461","ZCTA5 13461",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"13473","ZCTA5 13473",148,42,0,12,0,12,4,6,0,12,125,42,0,12,19,15
"13033","ZCTA5 13033",270,77,20,30,0,12,13,15,0,12,110,46,0,12,127,62
"13052","ZCTA5 13052",477,73,12,12,4,7,2,3,38,24,373,68,0,12,48,30
"13063","ZCTA5 13063",50,34,23,22,0,12,15,25,4,6,1,2,0,12,7,7
"13090","ZCTA5 13090",623,201,238,125,18,27,141,110,0,22,0,22,0,22,226,127
"13122","ZCTA5 13122",55,52,2,4,0,12,0,12,15,18,38,49,0,12,0,12
"13132","ZCTA5 13132",231,129,0,12,0,12,39,62,0,12,107,97,0,12,85,94
"13143","ZCTA5 13143",181,58,7,10,0,12,0,12,29,24,96,54,0,12,49,30
"13209","ZCTA5 13209",476,177,70,71,0,19,62,61,59,62,12,13,0,19,273,135
"13211","ZCTA5 13211",335,116,130,84,0,17,119,88,0,17,0,17,0,17,86,64
"13319","ZCTA5 13319",38,60,0,12,0,12,0,12,0,12,0,12,0,12,38,60
"13320","ZCTA5 13320",328,62,0,12,0,12,3,5,3,4,207,56,0,12,115,37
"13340","ZCTA5 13340",432,116,25,28,0,17,67,53,0,17,83,60,0,17,257,94
"13353","ZCTA5 13353",282,27,0,12,0,12,0,12,0,12,280,27,0,12,2,3
"14530","ZCTA5 14530",641,137,0,17,24,37,24,39,0,17,384,110,0,17,209,103
"14550","ZCTA5 14550",138,57,6,9,0,12,0,12,0,12,87,49,0,12,45,34
"14605","ZCTA5 14605",1038,161,178,69,117,53,42,47,0,19,10,16,0,19,691,134
"14613","ZCTA5 14613",913,177,289,102,54,49,18,29,6,8,19,30,0,19,527,160
"14625","ZCTA5 14625",445,139,198,93,78,86,0,19,11,16,39,64,0,19,119,85
"14712","ZCTA5 14712",933,150,4,7,0,12,0,12,4,6,834,151,0,12,91,74
"14714","ZCTA5 14714",124,40,0,12,0,12,2,4,0,12,108,38,0,12,14,14
"14733","ZCTA5 14733",244,122,38,39,5,7,0,12,0,12,31,31,0,12,170,112
"14738","ZCTA5 14738",405,141,0,12,0,12,0,12,4,6,272,118,0,12,129,107
"14744","ZCTA5 14744",99,40,0,12,0,12,22,22,0,12,56,25,0,12,21,19
"14772","ZCTA5 14772",296,78,40,36,0,12,18,19,24,28,160,53,0,12,54,37
"14784","ZCTA5 14784",203,83,0,12,0,12,16,25,0,12,148,75,0,12,39,36
"14809","ZCTA5 14809",326,74,8,13,0,12,9,14,0,12,133,52,0,12,176,66
"14822","ZCTA5 14822",266,49,6,10,0,12,0,12,0,12,196,41,2,4,62,28
"14040","ZCTA5 14040",30,28,0,12,0,12,0,12,14,22,7,11,0,12,9,14
"14066","ZCTA5 14066",93,34,0,12,0,12,0,12,7,10,69,33,0,12,17,11
"14213","ZCTA5 14213",1879,330,311,136,134,87,0,22,0,22,9,15,0,22,1425,275
"14167","ZCTA5 14167",137,58,0,12,0,12,0,12,10,15,97,46,0,12,30,30
"14171","ZCTA5 14171",222,81,21,26,0,12,7,11,18,26,103,48,0,12,73,56
"14208","ZCTA5 14208",1476,238,221,116,10,17,34,43,26,43,0,19,0,19,1185,206
"14212","ZCTA5 14212",1412,239,214,98,33,36,47,42,0,19,8,13,0,19,1110,242
"14214","ZCTA5 14214",1120,279,146,97,180,117,25,39,65,54,0,19,0,19,704,240
"14223","ZCTA5 14223",525,232,79,111,9,13,110,125,63,78,21,33,0,22,243,153
"14227","ZCTA5 14227",552,206,152,139,0,22,23,35,134,117,0,22,0,22,243,136
"14303","ZCTA5 14303",980,172,296,121,9,13,379,122,0,17,41,36,0,17,255,96
"14305","ZCTA5 14305",1353,222,584,159,64,73,257,95,27,24,62,58,0,19,359,131
"14416","ZCTA5 14416",47,39,0,12,0,12,0,12,14,22,14,23,0,12,19,24
"14428","ZCTA5 14428",138,97,16,25,14,23,0,17,0,17,20,26,0,17,88,87
"14462","ZCTA5 14462",25,22,0,12,0,12,8,13,0,12,0,12,0,12,17,19
"14467","ZCTA5 14467",142,134,0,19,0,19,48,78,0,19,0,19,0,19,94,113
"14475","ZCTA5 14475",12,18,12,18,0,12,0,12,0,12,0,12,0,12,0,12
"14477","ZCTA5 14477",98,69,0,12,0,12,0,12,0,12,59,54,0,12,39,44
"14505","ZCTA5 14505",175,96,29,46,0,17,0,17,34,56,65,65,0,17,47,49
"14519","ZCTA5 14519",313,156,0,19,14,22,50,59,43,49,28,40,0,19,178,123
"14551","ZCTA5 14551",546,158,27,26,0,17,19,32,53,72,176,96,19,26,252,138
"14561","ZCTA5 14561",117,86,0,12,31,48,0,12,0,12,0,12,0,12,86,72
"14589","ZCTA5 14589",407,162,65,66,0,17,71,79,0,17,201,115,65,69,5,7
"14591","ZCTA5 14591",70,39,0,12,0,12,4,6,0,12,3,4,0,12,63,38
"14608","ZCTA5 14608",1204,205,675,158,58,43,27,29,0,19,5,7,0,19,439,126
"14621","ZCTA5 14621",2236,315,531,164,87,60,17,19,13,19,10,16,0,25,1578,246
"14623","ZCTA5 14623",624,223,114,106,179,137,71,59,47,75,86,70,0,22,127,70
"14624","ZCTA5 14624",825,217,225,128,156,125,25,29,56,63,0,25,0,25,363,167
"14626","ZCTA5 14626",566,232,161,96,54,86,57,54,0,25,104,83,0,25,190,123
"14721","ZCTA5 14721",22,18,0,12,0,12,0,12,0,12,10,13,0,12,12,18
"14723","ZCTA5 14723",242,53,4,7,0,12,12,11,9,14,162,47,0,12,55,30
"14548","ZCTA5 14548",103,62,29,25,0,12,26,41,0,12,13,16,0,12,35,44
"14568","ZCTA5 14568",118,94,0,17,0,17,23,36,0,17,40,61,0,17,55,67
"14571","ZCTA5 14571",205,100,0,12,0,12,0,12,0,12,174,92,0,12,31,49
"14607","ZCTA5 14607",961,272,658,244,126,101,0,19,0,19,42,73,0,19,135,81
"14620","ZCTA5 14620",1235,287,830,270,40,44,20,25,0,22,83,73,0,22,262,151
"14715","ZCTA5 14715",315,82,20,21,0,12,18,19,0,12,232,77,0,12,45,25
"14735","ZCTA5 14735",557,94,40,29,0,12,6,6,0,12,399,77,0,12,112,47
"14741","ZCTA5 14741",517,96,0,12,0,12,0,12,0,12,464,90,0,12,53,35
"14754","ZCTA5 14754",123,56,12,17,0,12,0,12,0,12,102,51,0,12,9,14
"14783","ZCTA5 14783",60,24,0,12,0,12,0,12,0,12,45,23,0,12,15,11
"14808","ZCTA5 14808",37,33,12,19,0,12,0,12,0,12,14,22,0,12,11,18
"14755","ZCTA5 14755",448,77,0,12,0,12,25,19,11,17,341,71,0,12,71,37
"14787","ZCTA5 14787",395,123,15,24,54,85,0,12,0,12,230,109,0,12,96,84
"14801","ZCTA5 14801",425,78,38,28,0,17,3,4,0,17,227,65,0,17,157,52
"14824","ZCTA5 14824",39,26,7,11,3,4,0,12,0,12,15,17,0,12,14,16
"14839","ZCTA5 14839",187,49,6,11,8,11,7,10,0,12,122,41,0,12,44,27
"14840","ZCTA5 14840",1683,122,43,28,0,12,13,11,19,18,1481,117,0,12,127,48
"14843","ZCTA5 14843",1038,198,222,107,0,19,71,63,20,22,144,67,0,19,581,193
"14847","ZCTA5 14847",281,77,20,24,0,12,0,12,0,12,133,46,0,12,128,55
"14867","ZCTA5 14867",236,121,109,96,0,17,16,25,0,17,50,74,0,17,61,42
"14871","ZCTA5 14871",162,82,54,55,0,12,43,38,12,20,7,10,0,12,46,50
"14882","ZCTA5 14882",130,108,0,12,0,12,44,72,0,12,86,87,0,12,0,12
"14901","ZCTA5 14901",1170,222,404,162,44,36,64,52,38,48,34,36,0,19,586,176
"14905","ZCTA5 14905",582,186,148,86,24,38,23,36,0,17,0,17,0,17,387,166
"14781","ZCTA5 14781",175,65,9,14,0,12,11,16,0,12,83,40,8,12,64,45
"14815","ZCTA5 14815",360,66,0,12,0,12,0,12,0,12,348,64,0,12,12,13
"14879","ZCTA5 14879",184,71,0,12,0,12,27,42,0,12,61,56,0,12,96,38
"14145","ZCTA5 14145",28,33,0,12,0,12,0,12,0,12,13,20,0,12,15,25
"14450","ZCTA5 14450",977,282,449,184,28,44,104,96,56,64,235,145,0,25,105,112
"14580","ZCTA5 14580",957,298,210,142,0,28,150,114,140,115,127,100,0,28,330,176
"14878","ZCTA5 14878",206,112,0,12,0,12,0,12,11,17,122,82,0,12,73,79
"14051","ZCTA5 14051",391,185,14,24,0,22,88,102,66,79,118,95,0,22,105,94
"14035","ZCTA5 14035",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14041","ZCTA5 14041",71,38,0,12,10,15,0,12,10,15,0,12,0,12,51,32
"14061","ZCTA5 14061",22,14,0,12,0,12,0,12,4,6,11,10,0,12,7,8
"14109","ZCTA5 14109",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14112","ZCTA5 14112",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14126","ZCTA5 14126",111,65,68,63,0,12,0,12,0,12,43,47,0,12,0,12
"14130","ZCTA5 14130",11,18,0,12,0,12,0,12,0,12,0,12,0,12,11,18
"14135","ZCTA5 14135",10,11,0,12,0,12,0,12,0,12,5,8,0,12,5,7
"14168","ZCTA5 14168",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14169","ZCTA5 14169",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14173","ZCTA5 14173",26,35,0,12,0,12,0,12,0,12,0,12,0,12,26,35
"14261","ZCTA5 14261",0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
"14302","ZCTA5 14302",39,44,39,44,0,12,0,12,0,12,0,12,0,12,0,12
"13354","ZCTA5 13354",98,49,8,12,0,12,0,12,9,15,26,18,0,12,55,42
"13403","ZCTA5 13403",83,87,0,17,0,17,0,17,0,17,0,17,0,17,83,87
"13406","ZCTA5 13406",58,34,0,12,0,12,0,12,13,17,4,8,0,12,41,31
"13416","ZCTA5 13416",194,57,11,13,0,12,0,12,0,12,124,46,0,12,59,39
"13439","ZCTA5 13439",906,104,8,14,0,12,29,38,16,18,553,107,10,16,290,77
"13027","ZCTA5 13027",746,234,68,83,43,64,63,62,97,88,122,97,0,25,353,201
"13030","ZCTA5 13030",269,152,0,12,0,12,51,79,0,12,218,150,0,12,0,12
"13031","ZCTA5 13031",373,144,169,99,0,19,18,21,49,74,0,19,0,19,137,82
"13045","ZCTA5 13045",1756,342,239,128,317,140,78,58,122,110,254,126,0,22,746,192
"13062","ZCTA5 13062",22,35,0,12,0,12,0,12,0,12,22,35,0,12,0,12
"13076","ZCTA5 13076",27,43,0,12,0,12,0,12,0,12,0,12,0,12,27,43
"13092","ZCTA5 13092",155,52,0,12,8,13,14,16,18,20,19,21,0,12,96,41
"13104","ZCTA5 13104",533,177,136,91,43,49,110,88,0,19,120,79,0,19,124,104
"13124","ZCTA5 13124",34,16,0,12,0,12,0,12,6,10,26,13,0,12,2,3
"13144","ZCTA5 13144",345,93,9,14,0,12,48,51,0,12,241,59,0,12,47,62
"13147","ZCTA5 13147",41,24,0,12,0,12,0,12,0,12,14,11,0,12,27,21
"13152","ZCTA5 13152",1113,131,57,49,0,17,19,23,55,59,738,108,0,17,244,90
"13158","ZCTA5 13158",125,39,0,12,6,10,0,12,8,13,63,28,0,12,48,25
"13159","ZCTA5 13159",292,92,11,17,0,17,19,21,22,24,147,62,0,17,93,47
"13165","ZCTA5 13165",488,164,32,35,0,19,25,39,0,19,80,62,0,19,351,148
"13203","ZCTA5 13203",1569,224,459,127,179,88,34,31,0,19,4,9,0,19,893,191
"13215","ZCTA5 13215",485,190,223,141,51,81,60,72,17,29,74,76,0,19,60,49
"13301","ZCTA5 13301",66,58,0,12,0,12,15,24,0,12,51,53,0,12,0,12
"13310","ZCTA5 13310",161,121,0,12,0,12,0,12,0,12,161,121,0,12,0,12
"13316","ZCTA5 13316",459,113,66,53,24,31,31,45,27,30,208,54,5,7,98,57
"13318","ZCTA5 13318",65,33,0,12,0,12,22,19,0,12,0,12,10,14,33,26
"13331","ZCTA5 13331",857,110,0,12,0,12,0,12,0,12,841,107,0,12,16,24
"13332","ZCTA5 13332",239,105,0,12,13,17,7,12,16,18,121,111,0,12,82,41
"13335","ZCTA5 13335",185,56,10,15,9,15,13,16,0,12,61,36,0,12,92,40
"13343","ZCTA5 13343",566,73,9,14,0,12,21,18,0,12,482,60,0,12,54,30
"13350","ZCTA5 13350",869,225,94,102,0,17,183,120,21,33,98,61,0,17,473,175
"13360","ZCTA5 13360",990,63,7,6,0,12,0,12,0,12,982,62,0,12,1,2
"13491","ZCTA5 13491",271,68,7,10,0,12,23,31,0,12,76,35,0,12,165,55
"13475","ZCTA5 13475",11,11,5,8,0,12,0,12,0,12,0,12,6,11,0,12
"13486","ZCTA5 13486",63,44,0,12,0,12,28,31,0,12,19,23,0,12,16,25
"13490","ZCTA5 13490",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"13495","ZCTA5 13495",70,57,10,17,0,12,0,12,0,12,0,12,0,12,60,55
"13613","ZCTA5 13613",174,82,0,12,0,12,9,14,0,12,129,65,0,12,36,41
"12941","ZCTA5 12941",439,78,0,12,0,12,14,23,0,12,365,79,0,12,60,42
"12115","ZCTA5 12115",75,67,0,12,0,12,22,36,0,12,0,12,0,12,53,58
"12187","ZCTA5 12187",120,62,17,27,0,12,0,12,10,15,57,38,0,12,36,29
"12309","ZCTA5 12309",1412,296,237,127,45,57,14,22,104,89,79,61,0,25,933,273
"12515","ZCTA5 12515",48,56,0,12,0,12,0,12,0,12,0,12,28,45,20,33
"12726","ZCTA5 12726",472,80,13,15,0,12,18,17,0,12,385,78,0,12,56,38
"12033","ZCTA5 12033",129,69,12,18,0,17,10,15,0,17,0,17,30,48,77,43
"12019","ZCTA5 12019",260,154,77,126,0,19,29,43,31,37,43,43,0,19,80,71
"12022","ZCTA5 12022",96,48,13,21,0,12,0,12,0,12,35,32,0,12,48,35
"12043","ZCTA5 12043",521,136,48,31,44,59,24,27,32,26,175,102,0,17,198,108
"12060","ZCTA5 12060",305,75,15,24,0,12,37,45,5,7,202,59,0,12,46,43
"12065","ZCTA5 12065",992,313,285,146,83,83,125,107,103,93,88,78,0,25,308,165
"12083","ZCTA5 12083",387,124,0,12,0,12,3,4,0,12,311,114,0,12,73,59
"12116","ZCTA5 12116",372,107,0,12,0,12,23,37,0,12,232,96,0,12,117,73
"12809","ZCTA5 12809",470,114,30,34,0,12,20,33,0,12,309,96,0,12,111,60
"12831","ZCTA5 12831",169,119,0,19,0,19,7,11,116,112,12,19,0,19,34,40
"12833","ZCTA5 12833",228,115,32,51,0,12,0,12,0,12,29,47,0,12,167,94
"12958","ZCTA5 12958",222,135,0,12,0,12,0,12,0,12,72,81,0,12,150,118
"12017","ZCTA5 12017",150,49,0,12,0,12,7,10,0,12,133,46,0,12,10,16
"12023","ZCTA5 12023",206,86,0,12,16,25,5,7,18,22,120,69,0,12,47,39
"12029","ZCTA5 12029",321,64,0,12,0,12,19,16,0,12,216,57,0,12,86,43
"12042","ZCTA5 12042",57,65,0,12,0,12,27,45,0,12,0,12,0,12,30,44
"12045","ZCTA5 12045",111,75,0,12,0,12,0,12,0,12,0,12,0,12,111,75
"12066","ZCTA5 12066",151,70,0,12,0,12,3,4,25,32,39,30,0,12,84,54
"12077","ZCTA5 12077",159,129,0,17,33,52,57,72,0,17,0,17,0,17,69,83
"12078","ZCTA5 12078",2523,332,163,99,52,60,242,111,109,88,954,173,0,22,1003,238
"12084","ZCTA5 12084",156,97,60,64,0,17,24,30,0,17,0,17,0,17,72,61
"12086","ZCTA5 12086",196,86,11,17,0,12,0,12,9,18,85,55,0,12,91,60
"14732","ZCTA5 14732",18,20,0,12,0,12,0,12,0,12,6,9,0,12,12,18
"14742","ZCTA5 14742",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14752","ZCTA5 14752",53,50,0,12,0,12,0,12,0,12,43,51,0,12,10,15
"14756","ZCTA5 14756",174,96,0,12,0,12,0,12,0,12,174,96,0,12,0,12
"14774","ZCTA5 14774",2,3,2,3,0,12,0,12,0,12,0,12,0,12,0,12
"14778","ZCTA5 14778",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14788","ZCTA5 14788",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14827","ZCTA5 14827",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14853","ZCTA5 14853",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14854","ZCTA5 14854",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14856","ZCTA5 14856",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14893","ZCTA5 14893",24,22,0,12,0,12,0,12,0,12,24,22,0,12,0,12
"14032","ZCTA5 14032",153,90,0,17,0,17,0,17,0,17,46,58,0,17,107,69
"14134","ZCTA5 14134",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11576","ZCTA5 11576",221,87,17,23,0,19,35,28,85,68,2,3,0,19,82,47
"11580","ZCTA5 11580",576,168,53,85,0,25,218,121,74,65,35,44,0,25,196,110
"11598","ZCTA5 11598",104,70,28,45,0,19,23,37,7,11,30,30,0,19,16,18
"11706","ZCTA5 11706",2865,289,373,196,10,16,45,39,22,34,1646,82,0,28,769,209
"11757","ZCTA5 11757",851,233,82,68,113,80,116,92,69,81,51,58,0,25,420,172
"11764","ZCTA5 11764",391,179,0,19,0,19,64,75,55,62,120,118,0,19,152,110
"11770","ZCTA5 11770",1131,64,0,12,0,12,0,12,2,3,1117,63,0,12,12,9
"11788","ZCTA5 11788",469,168,91,82,22,31,67,60,25,37,118,88,0,19,146,91
"11791","ZCTA5 11791",401,155,38,48,0,22,99,64,31,41,48,38,0,22,185,98
"11796","ZCTA5 11796",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11942","ZCTA5 11942",1140,217,18,20,0,17,62,60,0,17,997,198,0,17,63,61
"11947","ZCTA5 11947",159,90,0,12,0,12,0,12,0,12,159,90,0,12,0,12
