"GEOID","NAME","vacancy_totalE","vacancy_totalM","for_rentE","for_rentM","rented_not_occE","rented_not_occM","for_saleE","for_saleM","sold_not_occE","sold_not_occM","seasonal_rec_occaisionalE","seasonal_rec_occaisionalM","migrant_workerE","migrant_workerM","other_vacantE","other_vacantM"
"14062","ZCTA5 14062",170,72,0,12,0,12,0,12,0,12,78,36,0,12,92,67
"14092","ZCTA5 14092",256,127,36,41,2,3,134,98,0,19,74,71,0,19,10,16
"14098","ZCTA5 14098",463,84,30,31,0,12,0,12,0,12,354,84,35,28,44,35
"14108","ZCTA5 14108",141,117,27,40,0,17,83,96,0,17,0,17,0,17,31,43
"14136","ZCTA5 14136",464,124,48,46,0,12,19,28,20,31,285,104,0,12,92,55
"14143","ZCTA5 14143",141,57,14,22,0,12,0,12,31,35,34,40,0,12,62,38
"14094","ZCTA5 14094",2788,386,1045,253,116,114,595,219,175,127,83,81,0,25,774,227
"14103","ZCTA5 14103",357,129,27,43,0,19,17,27,142,95,17,27,0,19,154,77
"14131","ZCTA5 14131",165,102,0,12,0,12,0,12,0,12,83,69,0,12,82,79
"14034","ZCTA5 14034",118,58,16,27,0,12,0,12,0,12,19,30,0,12,83,61
"14042","ZCTA5 14042",385,107,47,34,23,26,25,40,15,23,131,74,0,12,144,80
"14047","ZCTA5 14047",282,129,0,17,46,77,26,43,0,17,66,83,0,17,144,116
"14048","ZCTA5 14048",966,193,71,75,51,58,174,87,0,19,433,122,0,19,237,98
"14052","ZCTA5 14052",490,197,92,84,0,19,92,91,16,25,83,75,0,19,207,120
"14055","ZCTA5 14055",60,54,0,12,26,40,0,12,0,12,18,28,0,12,16,26
"14059","ZCTA5 14059",104,97,0,17,0,17,0,17,0,17,0,17,0,17,104,97
"14837","ZCTA5 14837",941,197,18,21,9,15,36,24,0,17,622,152,0,17,256,121
"14838","ZCTA5 14838",84,41,9,15,0,12,21,23,0,12,54,35,0,12,0,12
"14855","ZCTA5 14855",117,45,0,12,0,12,0,12,0,12,41,27,0,12,76,36
"14618","ZCTA5 14618",445,179,160,110,0,22,98,79,0,22,91,75,0,22,96,84
"14217","ZCTA5 14217",732,207,108,84,0,22,41,40,21,34,11,19,0,22,551,177
"14716","ZCTA5 14716",143,81,0,12,8,13,42,43,0,12,44,42,0,12,49,57
"14005","ZCTA5 14005",13,14,9,12,0,12,4,7,0,12,0,12,0,12,0,12
"14031","ZCTA5 14031",279,158,39,57,0,19,0,19,39,63,55,67,0,19,146,111
"14039","ZCTA5 14039",10,15,0,12,0,12,0,12,0,12,0,12,0,12,10,15
"14054","ZCTA5 14054",61,37,0,12,0,12,0,12,21,23,21,23,0,12,19,20
"14058","ZCTA5 14058",129,59,7,11,0,12,0,12,46,40,14,23,40,36,22,26
"14070","ZCTA5 14070",305,88,42,34,0,17,0,17,0,17,92,55,0,17,171,66
"14082","ZCTA5 14082",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"14085","ZCTA5 14085",98,87,0,17,0,17,17,28,0,17,39,44,0,17,42,70
"14026","ZCTA5 14026",16,25,0,12,0,12,0,12,0,12,0,12,0,12,16,25
"14111","ZCTA5 14111",122,62,11,17,0,12,0,12,14,19,57,49,0,12,40,32
"14216","ZCTA5 14216",1142,305,125,97,221,130,37,43,76,59,38,47,0,22,645,246
"14728","ZCTA5 14728",515,114,0,12,0,12,0,12,32,50,462,120,0,12,21,25
"14777","ZCTA5 14777",606,98,0,12,0,12,19,21,0,12,565,95,0,12,22,24
"14846","ZCTA5 14846",114,29,0,12,0,12,0,12,0,12,85,25,0,12,29,19
"14895","ZCTA5 14895",809,156,133,87,21,33,80,52,7,11,370,113,0,17,198,101
"14006","ZCTA5 14006",959,209,46,46,0,17,17,20,21,33,663,177,0,17,212,79
"14615","ZCTA5 14615",648,211,173,108,0,19,92,94,44,72,9,14,0,19,330,157
"14220","ZCTA5 14220",1013,234,90,66,25,40,72,77,189,127,32,37,0,22,605,202
"14228","ZCTA5 14228",943,313,368,196,54,86,89,90,0,22,0,22,0,22,432,220
"14411","ZCTA5 14411",578,210,100,106,13,21,29,46,27,44,168,72,0,19,241,154
"14420","ZCTA5 14420",357,123,97,71,44,54,48,53,43,45,55,47,0,22,70,70
"14423","ZCTA5 14423",143,69,0,12,0,12,0,12,0,12,15,24,0,12,128,65
"14424","ZCTA5 14424",1777,263,426,181,50,82,33,44,36,49,952,227,0,22,280,143
"14437","ZCTA5 14437",507,121,23,22,6,10,17,19,55,38,151,42,0,19,255,120
"14441","ZCTA5 14441",91,32,13,15,4,7,0,12,3,6,63,26,2,4,6,7
"14478","ZCTA5 14478",313,106,0,12,0,12,0,12,0,12,313,106,0,12,0,12
"14604","ZCTA5 14604",543,229,296,177,76,87,0,12,38,61,54,66,0,12,79,87
"14610","ZCTA5 14610",503,184,341,137,28,26,59,52,30,49,45,73,0,19,0,19
"14611","ZCTA5 14611",1586,210,412,149,155,97,47,35,69,54,10,15,0,19,893,169
"14718","ZCTA5 14718",163,56,0,12,0,12,16,13,5,8,124,50,0,12,18,17
"14719","ZCTA5 14719",395,75,0,12,0,12,41,29,20,21,207,54,0,12,127,49
"14737","ZCTA5 14737",853,108,0,12,0,12,26,24,9,16,654,99,0,12,164,55
"14748","ZCTA5 14748",47,30,10,7,0,12,0,12,4,6,17,24,0,12,16,15
"14757","ZCTA5 14757",1245,168,9,16,9,14,22,35,0,12,1111,165,0,12,94,65
"14802","ZCTA5 14802",142,52,49,32,19,22,36,24,0,12,9,14,0,12,29,25
"14817","ZCTA5 14817",9,14,0,12,0,12,0,12,0,12,0,12,0,12,9,14
"14821","ZCTA5 14821",198,79,11,17,10,16,0,12,33,52,60,39,0,12,84,55
"14825","ZCTA5 14825",73,50,19,29,0,12,0,12,0,12,30,32,0,12,24,30
"14845","ZCTA5 14845",668,224,153,126,25,42,42,66,0,22,145,116,0,22,303,160
"14880","ZCTA5 14880",389,80,10,16,0,12,15,17,0,12,293,62,0,12,71,39
"14883","ZCTA5 14883",250,86,52,49,0,12,22,33,0,12,55,37,0,12,121,73
"14891","ZCTA5 14891",439,104,46,33,0,12,29,44,0,12,192,68,0,12,172,67
"13489","ZCTA5 13489",114,36,0,12,0,12,7,10,0,12,89,32,0,12,18,18
"13608","ZCTA5 13608",111,42,5,8,0,12,16,17,38,24,27,20,0,12,25,20
"13617","ZCTA5 13617",308,134,0,19,56,63,141,120,0,19,56,36,0,19,55,41
"13640","ZCTA5 13640",759,138,0,12,0,12,0,12,0,12,759,138,0,12,0,12
"13655","ZCTA5 13655",5,8,0,12,0,12,0,12,0,12,0,12,0,12,5,8
"13658","ZCTA5 13658",118,71,0,12,0,12,0,12,0,12,81,51,0,12,37,43
"13664","ZCTA5 13664",108,34,5,8,5,7,13,10,4,6,58,27,0,12,23,14
"13672","ZCTA5 13672",446,97,17,27,0,12,0,12,0,12,404,88,0,12,25,29
"13732","ZCTA5 13732",181,100,31,48,0,17,0,17,25,38,53,58,0,17,72,60
"13754","ZCTA5 13754",932,108,10,15,9,14,62,35,9,14,672,111,0,12,170,53
"13774","ZCTA5 13774",123,77,0,12,0,12,29,46,0,12,79,68,0,12,15,23
"13795","ZCTA5 13795",105,104,0,12,0,12,0,12,0,12,49,79,0,12,56,75
"13830","ZCTA5 13830",605,135,4,7,20,22,37,49,10,15,430,120,0,17,104,43
"13833","ZCTA5 13833",262,123,25,39,0,12,23,38,0,12,128,74,0,12,86,69
"13834","ZCTA5 13834",23,36,0,12,0,12,0,12,0,12,0,12,0,12,23,36
"13843","ZCTA5 13843",275,91,0,12,0,12,11,16,17,27,127,55,0,12,120,71
"13324","ZCTA5 13324",703,80,7,11,0,12,0,12,5,7,578,78,0,12,113,48
"13333","ZCTA5 13333",18,19,0,12,0,12,0,12,0,12,18,19,0,12,0,12
"13348","ZCTA5 13348",256,98,37,40,0,12,8,12,0,12,102,64,0,12,109,66
